@RELATION Edge_16
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE class {207,0,154,164,118,172,184,190,203,108,127,152,13,61,155,192,173,37,109,58,125,7,63,186,112,157,168,123,89,174,88,153,117,166,195,94,90,133,151,130,113,150,64,161,126,87,11,17,10,121,171,85,19,177,159,66,65,60,140,95,197,187,12,158,1,92,129,59,180,208,26,175,178,194,181,3,25,62,170,8,185,110,179,160,165,93,107,199,114,169,128,135,14,162,16,134,124,18,206,163,81,132,111,205,188,91,198,5,139,102,84,131,204,9,119,193,202,247,338,346,209,213,353,334,337,254,292,289,336,349,232,294,325,351,347,230,355,216,320,301,282,283,348,297,272,343,212,357,352,385,386,287,332,276,354,340,341,237,211,234,333,242,278,273,335,339,217,330,248,344,256,215,345,329,280,231,350,239,324,285,315,233,286,298,383,293,243,379,295,241,387,288,210,240,259,364,279,214,384,296,291,342,281,300,299,246,274,235,328,356,250,275,380,277,382,321,449,551,498,587,391,553,550,670,585,409,588,545,552,415,482,634,408,405,513,514,671,481,451,584,567,497,484,527,414,548,453,549,445,599,635,448,563,456,389,561,586,480,559,488,582,555,494,577,493,547,442,544,454,420,439,562,598,452,455,546,492,560,583,388,447,390,658,444,443,403,450,393,486,490,496,483,446,392,489,491,542,394,495,458,487}
@DATA
6.6322,8.0123,8.7066,6.9246,5.4405,7.4764,4.553,3.9396,6.5339,3.387,3.0394,9.162,2.8559,9.2613,6.5624,7.5128,152
7.6291,12.4142,17.1646,12.6697,10.5744,11.5743,5.9309,1.2583,1.9429,0.8322,0.7411,5.6309,0.9675,5.1948,2.5092,2.966,13
7.023,8.5625,9.1304,6.3181,4.7252,6.4485,3.3904,2.1525,4.5751,2.294,2.651,12.0863,3.6184,12.7131,7.0811,7.2302,61
13.4935,11.8474,8.5586,3.876,2.2551,3.1131,1.7912,1.3452,3.5346,1.7267,1.9448,16.5553,2.8489,13.4392,6.1689,7.5017,155
7.5405,8.6857,8.283,6.0164,3.8609,6.1654,3.9211,3.7479,7.2133,3.432,3.0468,10.8778,2.8609,11.1982,6.2008,6.9492,192
13.7987,15.2214,14.7386,8.8443,6.3562,8.2881,3.8595,0.8543,1.8958,0.6078,0.6696,7.1393,1.1582,7.6047,4.1359,4.8276,173
8.068,10.346,10.9404,6.6365,4.7582,5.7935,2.6457,1.2616,3.7387,1.8915,2.2655,12.4292,3.524,12.7141,6.5788,6.4083,37
8.806,9.3253,8.6851,5.6164,3.7862,5.4072,3.3788,2.9721,6.2767,3.0217,2.8509,11.1181,3.0922,11.9009,6.6199,7.1425,109
9.5898,9.7813,9.3506,5.7341,4.1107,5.4395,2.4866,0.9109,2.8789,1.0846,1.6582,15.7131,3.2812,15.8227,6.3729,5.7849,58
6.9249,8.3173,8.9142,6.5166,5.0109,6.6883,3.8942,2.8893,5.6663,2.8778,2.7336,10.9111,2.9643,11.6752,6.7009,7.3152,125
8.697,9.3936,9.3968,5.9137,4.4363,5.5676,2.8695,1.4471,3.5818,1.8374,2.1381,14.9754,3.0566,14.2646,6.4722,5.9522,7
9.3667,10.0134,9.6788,6.0047,4.3215,5.438,2.952,1.8921,4.2217,2.284,2.426,11.6805,3.1706,12.4958,7.057,6.997,63
9.439,9.6088,8.7815,5.484,3.4785,5.1325,3.121,2.7584,6.0799,3.0036,2.827,11.3561,2.9196,12.3296,6.5957,7.0847,186
8.7371,9.1347,8.7391,5.8292,4.0526,5.8074,3.645,3.0564,5.9384,2.8044,2.5828,11.6056,2.7399,12.1353,6.3149,6.8774,112
8.9214,9.5114,8.7462,6.0457,3.7005,6.1208,4.4267,4.0685,7.2596,3.9577,3.3836,9.2033,2.7347,9.8003,5.7863,6.3332,157
8.0814,8.9785,8.4628,5.4594,3.2918,5.3153,3.1028,2.7779,6.3923,2.8655,2.7946,11.3971,3.5128,12.8375,7.0621,7.6682,168
8.6949,9.072,8.2544,5.3466,3.4761,5.2729,3.2057,2.8279,6.6091,2.9844,2.8017,11.8246,3.0388,13.1,6.3867,7.1044,109
7.247,9.6751,11.0942,7.435,5.7046,6.8721,3.3637,1.4035,3.5394,2.0172,2.4147,11.2923,3.8403,11.7508,6.5311,5.8191,123
6.4676,8.2873,9.6412,7.1358,5.6107,7.284,3.8079,2.2471,4.7196,2.8219,2.9389,10.3866,3.5668,10.8985,7.0672,7.1189,89
6.0773,7.735,8.4635,6.1461,4.5846,6.5265,3.3444,2.3855,5.6132,2.8288,2.9567,11.8287,3.7175,12.5184,7.4275,7.8463,174
6.5467,7.9083,8.477,6.8572,5.3293,7.44,4.8963,4.1892,6.8068,3.6402,3.2253,9.1031,2.9597,8.9987,6.3876,7.2345,88
7.3139,11.1763,13.941,9.1498,6.9388,7.4767,3.5095,0.9522,2.2358,1.252,1.8233,10.4222,3.8717,10.4394,5.0851,4.4123,153
13.3747,12.9379,10.7892,5.5984,3.686,4.8812,2.3518,1.0691,2.7829,0.9035,1.1458,12.9888,2.6154,13.0561,6.061,5.7584,117
14.3855,12.8995,10.0822,4.5263,2.7774,3.318,1.6355,0.7641,2.4405,0.8039,1.0401,15.7781,2.4288,15.6105,6.7941,4.7155,0
8.4695,10.117,10.5871,6.7512,4.7698,6.7357,3.0975,1.3132,3.1857,1.1109,1.6032,13.2929,3.7218,14.0881,5.745,5.4112,166
9.0934,8.8782,7.6377,5.1684,2.8831,5.4747,4.4921,4.2991,7.3485,4.3802,4.0145,11.2406,3.2773,10.761,5.45,5.6012,195
7.3991,8.3097,8.4538,6.0523,4.5658,6.32,3.7745,2.8045,5.7025,2.789,2.6205,12.1059,2.722,13.0556,6.3204,7.0044,94
7.7969,8.7972,8.5995,5.7643,3.9101,5.7162,3.3227,2.5521,5.8263,2.8451,2.8781,11.9192,3.3098,12.7413,6.7884,7.2328,90
10.9369,12.3278,11.7363,6.4706,4.4257,4.8954,2.4338,1.219,3.188,1.4993,1.8754,11.9952,3.165,12.0296,5.8883,5.9139,133
14.7199,12.515,9.5981,4.4372,2.667,3.4254,1.8272,1.0505,2.8976,0.9691,1.1106,15.5866,2.2181,15.2405,6.8965,4.8408,0
6.6466,9.5727,11.6705,8.0136,6.2159,7.0419,3.5192,1.5161,3.508,2.1849,2.4982,10.8215,3.7542,10.8418,6.3167,5.8784,151
6.6636,9.2057,10.9345,7.6823,6.1342,7.1763,3.9988,2.3197,4.6404,3.0689,2.9139,9.228,3.5931,9.3008,6.5811,6.5588,130
10.2512,10.4346,9.4948,5.5394,3.7622,5.1707,3.0605,2.3343,4.8377,2.0804,2.1322,13.1387,2.8972,13.1221,5.9728,5.7714,113
14.7998,13.5446,10.7219,5.0668,3.151,3.7819,1.8582,0.7368,2.2554,0.6742,0.873,14.6846,2.2457,14.4662,6.4675,4.6722,0
6.2488,8.3101,10.0393,7.4485,5.9088,7.4023,3.9045,2.2056,4.6416,2.9074,2.9851,10.084,3.6279,10.4711,6.9903,6.8248,89
7.8304,8.6458,8.4876,5.7973,3.898,5.7624,3.4341,2.7274,6.2053,3.1795,2.9836,11.6886,2.8608,12.7317,6.5318,7.2357,150
7.5459,8.8351,8.965,6.7187,4.7133,6.6427,4.1767,3.8059,6.9875,3.5087,2.9226,9.7098,2.3622,9.9127,6.0823,7.1109,64
6.9032,8.5029,9.1822,6.3689,4.8098,6.4861,3.3122,2.0371,4.5211,2.2615,2.6212,12.0795,3.7327,12.8302,7.1367,7.2145,61
7.8908,8.6856,8.2435,6.2045,4.2624,6.7534,4.8893,4.643,7.7749,3.9485,3.2632,9.8295,2.6509,9.5821,5.3698,6.0085,161
9.5218,9.559,8.5744,5.1911,3.4883,5.1139,2.9495,2.2305,4.8302,2.1377,2.3369,14.3139,2.9726,14.2056,6.2791,6.2955,126
14.2649,11.8753,8.8651,4.1388,2.5036,3.3431,1.8913,1.4108,3.5199,1.3871,1.4882,15.4359,2.4021,15.1121,6.9589,5.4029,0
15.5656,13.0688,9.5967,4.3027,2.478,3.2764,1.7722,1.176,3.0762,1.1161,1.2291,14.3108,2.3342,14.5269,7.0726,5.0977,0
7.1796,9.056,9.8044,7.0139,5.3129,6.7825,3.8457,2.9421,5.3752,3.1035,2.9501,9.6063,3.2782,9.6355,6.8732,7.241,87
15.4935,14.2176,11.0233,4.8954,2.9297,3.5123,1.6826,0.6055,2.1189,0.5818,0.7724,14.462,2.1194,14.3114,6.4571,4.8171,0
6.5903,8.0517,8.005,6.5965,4.3847,7.0924,4.7071,4.6058,8.0358,3.8648,3.1825,10.2351,2.6315,9.8402,5.5963,6.5804,11
7.3679,11.4073,14.3219,9.3992,7.1682,7.7538,3.6054,0.8299,2.0506,1.1187,1.6557,10.314,3.7022,10.2993,4.844,4.1618,153
7.1979,8.0856,8.0192,5.9607,4.0709,6.3261,3.9821,3.3736,7.0651,3.5941,3.2064,11.3978,2.5487,12.2566,5.935,6.9801,150
5.9721,7.6792,9.1183,7.0026,5.4934,8.0822,3.6307,1.5421,3.1716,1.4725,2.1999,12.4646,4.7626,13.9258,7.1001,6.3823,17
7.411,8.4079,8.6213,6.1964,4.6706,6.4606,3.8482,2.8584,5.5862,2.7528,2.6094,11.7473,2.7425,12.6812,6.3673,7.0388,94
10.5865,11.9045,11.2915,6.3353,4.3924,5.1164,2.575,1.4773,3.5248,1.7134,1.9773,11.8361,3.1115,11.7889,6.1734,6.1958,133
8.4708,10.1076,10.6248,6.854,5.0522,6.3474,3.2744,1.722,3.766,1.8811,2.158,12.1181,3.2456,12.1785,6.2861,5.9132,10
7.0925,8.009,8.0218,5.8913,3.9837,6.273,3.864,3.2489,6.9039,3.4801,3.1297,11.8537,2.579,12.5412,6.0403,7.0878,150
7.5255,9.2559,10.1149,6.9265,5.2078,6.5736,3.5176,2.3435,5.0565,2.8647,2.8503,10.0519,3.4313,10.5663,6.8328,6.881,123
9.5473,10.1397,9.4247,5.5408,3.6893,5.0053,2.812,2.1131,4.8495,2.1804,2.233,13.473,2.8787,13.5949,6.2279,6.2904,113
6.7348,8.1528,8.8829,6.9681,5.494,7.4143,4.5011,3.8342,6.4313,3.3816,3.0361,9.0138,2.8782,9.1801,6.5946,7.5018,152
14.4651,11.8938,8.7569,4.0534,2.4371,3.3449,1.9322,1.4223,3.517,1.3245,1.4353,15.6484,2.3231,15.4395,6.918,5.0886,0
7.2043,8.7565,9.3017,6.8505,4.8279,7.6059,3.5007,2.0659,4.2439,1.8082,2.1763,11.9451,4.0709,12.8465,6.4169,6.3789,203
6.76,8.2497,8.3557,6.9937,4.9209,7.4671,5.1552,4.991,7.9463,3.8996,3.2068,9.248,2.4515,8.6791,5.3329,6.3425,11
7.7177,8.6927,8.8514,5.8615,4.2848,5.8952,3.1725,1.9282,4.4502,2.0339,2.3331,14.041,3.1932,14.4321,6.5993,6.5133,121
6.2088,7.8482,8.4322,6.384,4.7082,6.7251,3.8294,3.2937,6.2501,3.181,3.0891,10.5593,3.5344,11.0579,7.1291,7.7696,174
7.1008,8.5472,8.8066,6.7312,5.0064,6.9057,4.43,4.0047,6.8705,3.2408,2.8859,9.9201,2.8376,9.9102,6.0033,6.7991,171
9.7673,10.3062,9.3425,5.6247,3.6449,5.0158,3.0298,2.6692,5.8074,2.6381,2.4909,11.632,2.8308,12.2913,6.259,6.6503,85
7.3141,10.0757,11.3513,7.7191,5.7032,7.1894,3.5178,1.7246,3.3694,1.8963,2.3527,11.1282,3.6726,10.908,5.961,6.1167,19
14.0207,13.2855,10.7012,4.9491,3.0244,3.5856,1.7827,0.6814,2.3597,0.7049,0.9959,15.6722,2.2315,15.1596,6.2547,4.5909,0
7.2865,9.6996,11.0351,7.4511,5.716,7.4345,3.4073,1.3072,2.9602,1.4082,1.9872,11.6133,3.9176,12.2898,6.3512,6.1351,177
7.7827,8.46,8.0914,5.5972,3.658,5.6084,3.3333,2.8195,6.1551,3.1201,3.1375,13.1935,3.1685,13.0891,6.1121,6.6738,159
14.1985,11.719,8.6965,3.9755,2.3477,3.263,1.8986,1.4491,3.7288,1.4129,1.5146,15.8769,2.4572,15.4519,6.7546,5.2552,0
6.8824,9.8195,11.7881,7.9429,6.0562,6.9634,3.4827,1.7526,4.0424,2.4855,2.611,10.0098,3.625,10.2005,6.2837,6.0543,153
7.3642,8.3087,8.3137,5.8816,4.0182,6.0889,3.6154,2.9688,6.5359,3.2945,3.0102,11.8112,2.7194,12.5938,6.3092,7.1664,150
6.6818,8.4812,9.3959,6.9057,5.3203,7.1737,3.9279,2.831,5.2946,2.9265,2.9304,10.273,3.3619,10.5294,6.7996,7.167,66
6.544,8.6762,10.1279,7.3844,5.8356,7.2393,3.7345,2.1236,4.3065,2.6048,2.8077,10.2581,3.6755,10.7956,7.0715,6.8147,154
7.7689,8.8314,8.8073,6.3872,4.4027,6.2828,3.8981,3.625,6.9391,3.3992,2.8862,10.1714,2.5698,10.4927,6.3023,7.236,64
9.5835,9.7304,8.8987,5.9169,3.6948,5.5672,3.7225,3.4537,6.6918,3.6356,3.2157,9.1972,2.6928,10.4718,6.3956,7.1319,65
6.4921,8.0839,9.0039,6.7543,5.3431,7.1565,4.0121,2.727,5.0649,2.6852,2.6632,10.8921,3.1703,11.7615,6.901,7.2888,125
13.7571,12.0563,8.5974,3.8881,2.2108,3.058,1.7154,1.3478,3.4941,1.6445,1.9221,16.4265,2.7668,13.4941,6.1172,7.5037,155
6.5147,9.2866,11.2026,7.8462,6.2699,7.2137,3.915,2.1105,4.4179,2.9311,2.8078,9.4188,3.5956,9.4648,6.5721,6.4326,130
7.4876,9.0394,9.5053,6.3908,4.5946,6.0955,3.4169,2.6032,5.5948,2.9285,2.9058,10.9347,3.2602,11.3431,6.8194,7.0802,60
9.147,10.0771,9.542,6.1363,3.9513,5.6746,3.4224,2.9012,6.2019,3.2527,2.8435,10.0879,2.7742,10.6977,6.3953,6.8949,140
6.808,11.0737,14.3202,9.4297,7.2193,7.6084,3.5336,0.7782,1.9985,1.2211,1.8581,10.4978,3.9063,10.4317,5.0555,4.26,153
9.7909,9.8875,9.2393,5.6256,4.0296,5.1606,2.8986,1.9596,4.3139,2.0482,2.1629,13.8253,2.6292,13.5791,6.5057,6.3441,0
8.6583,12.2926,13.8413,8.1163,5.7629,6.1878,2.9566,1.0222,2.6505,1.481,1.9454,10.7642,3.3982,10.5246,5.4609,4.9373,95
6.8993,10.6326,13.5107,9.1161,7.0264,7.8447,3.5799,0.8372,2.0883,1.2138,1.8608,10.7723,3.9735,10.8513,5.2746,4.5186,153
13.0721,12.6417,10.6105,5.4657,3.6206,4.6226,2.1357,0.8074,2.445,0.709,1.0502,14.3295,2.6251,14.0472,6.2353,5.5824,117
8.6044,9.6801,9.3069,6.1001,3.9028,5.9152,3.7911,3.301,6.5764,3.4045,3.0581,10.1243,2.8,10.6434,6.0614,6.7302,197
6.9751,8.2369,8.2752,6.164,4.069,6.4017,3.7581,3.3095,6.8662,3.4379,3.1917,11.542,2.9687,11.7672,6.162,6.8748,187
6.6238,7.9684,8.9153,6.729,5.2403,7.0805,3.6921,2.6344,5.4784,2.9293,2.9288,10.587,3.2082,11.1126,7.0896,7.7823,12
9.0426,10.1483,9.5445,5.5315,3.6481,5.0748,2.5508,1.5217,4.3078,1.7182,2.1006,14.242,3.4166,14.4002,6.1994,6.5527,158
7.8409,8.1555,7.2748,5.1548,3.1529,5.7922,3.6893,3.2736,7.2009,3.453,3.2251,13.3549,2.9858,13.6751,5.482,6.2892,1
6.8314,10.417,12.97,8.6571,6.78,6.9276,3.4797,1.2343,2.9806,1.9392,2.2882,10.4462,3.7352,10.2961,5.7984,5.2191,151
14.7214,13.802,11.1743,5.2815,3.3052,3.9237,1.882,0.6209,2.0899,0.5401,0.7424,14.9222,2.162,14.3583,6.0389,4.4353,0
6.7881,9.0681,10.586,7.579,5.9788,7.147,3.775,2.1535,4.244,2.6244,2.7516,9.8955,3.5664,10.3888,6.886,6.568,154
7.7164,8.9957,9.0163,6.4371,4.5139,6.4587,4.027,3.6351,6.5676,3.4095,3.0917,9.7927,2.8885,9.8254,6.5212,7.1029,90
11.1922,11.5658,10.6702,6.0959,4.2561,5.3702,2.6706,1.3094,3.0168,1.2371,1.5946,13.29,3.2564,13.3249,5.9573,5.1925,92
6.6273,7.7898,7.9593,5.7563,4.0601,6.1374,3.4653,2.6075,6.2053,2.7343,2.6446,12.6026,2.9323,14.3824,6.6408,7.4549,129
15.0806,13.7679,10.7292,4.9095,2.9602,3.5904,1.7939,0.6946,2.2784,0.6671,0.8888,14.5511,2.1657,14.5696,6.5762,4.7767,0
6.2674,7.6042,8.2577,5.8877,4.333,6.4569,3.1909,2.034,4.5787,2.2568,2.7461,12.6975,4.1127,14.1263,7.7351,7.7151,59
10.5139,11.6386,11.0068,6.2832,4.4039,5.1649,2.6053,1.4469,3.4375,1.6981,2.0302,11.97,3.1034,12.0888,6.3342,6.2744,133
14.7111,13.5044,10.6241,4.9142,2.9908,3.6278,1.802,0.7023,2.3217,0.6681,0.8706,15.2844,2.1846,14.8108,6.4339,4.549,0
8.8103,9.3375,8.8175,5.6138,3.6197,5.2864,3.1349,2.5636,5.8571,2.9514,2.8317,11.9031,3.1113,12.5297,6.5511,7.081,180
14.9362,16.0736,12.3684,5.0585,2.9389,3.1708,1.543,0.7546,2.4948,0.9938,1.2732,12.8765,2.3775,11.4591,5.66,6.0209,127
7.0887,9.7646,11.5906,7.8959,6.0548,6.9214,3.7299,2.2111,4.5318,2.7597,2.7043,9.2951,3.3723,9.581,6.3058,6.193,153
14.3514,12.4235,9.5179,4.3879,2.6103,3.4671,1.7942,1.0003,2.8906,0.9208,1.0908,16.3572,2.3489,15.6012,6.5617,4.6761,0
6.928,12.4521,16.7896,11.6419,9.4858,9.2135,4.587,1.1721,1.907,1.103,1.2529,7.5037,3.1715,6.9538,2.8013,3.0368,208
6.5868,7.5919,7.8859,5.8165,4.178,6.2329,3.4503,2.3997,5.8731,2.5922,2.6824,13.1823,3.0901,14.6974,6.532,7.2087,129
6.8771,9.0611,10.0388,6.707,4.9321,6.5357,3.0375,1.5823,3.8663,2.0121,2.4826,12.5764,3.9241,12.6266,6.9529,6.7874,26
7.7935,9.7007,10.1126,6.4314,4.647,5.9665,2.9106,1.6494,4.4421,2.1871,2.4236,12.2849,3.4035,12.6308,6.6892,6.7274,37
8.1161,8.5365,7.9931,5.4084,3.4296,5.294,3.2312,2.6442,5.5963,3.0508,3.2088,14.9971,3.115,13.1539,5.8295,6.3955,159
7.5397,8.7663,9.0865,6.5033,4.7686,6.6585,3.8939,3.149,5.4775,3.1768,3.1872,9.8424,3.4919,9.9406,7.0662,7.4516,175
8.5061,9.3676,9.0322,6.3265,4.1668,6.2722,4.1135,3.6713,6.828,3.5245,2.9954,10.2369,2.4116,10.3212,5.801,6.4253,178
14.3603,12.4932,8.6295,3.6743,2.1307,2.8019,1.5985,1.186,3.1302,1.448,1.7306,17.2866,2.7677,13.5794,6.002,7.181,155
9.8591,10.0821,8.717,5.4418,3.1395,5.3491,3.645,3.2897,6.6293,3.4906,3.0625,10.649,2.9205,11.1607,6.0857,6.4785,194
15.8039,14.9613,11.5793,5.0732,2.9989,3.5551,1.735,0.6571,2.177,0.5525,0.7579,14.0593,2.0149,13.2816,5.9011,4.8918,0
8.9509,9.8432,9.3129,5.9322,3.7533,5.6591,3.6912,3.2097,6.398,3.3479,3.1289,10.3541,2.8784,10.9902,5.9893,6.5607,197
7.2195,11.1123,14.4177,10.394,8.3385,9.7393,4.5127,1.0964,2.0994,0.8608,0.9369,9.0368,3.5443,9.5739,3.7664,3.3512,181
7.024,8.2106,8.6018,6.6204,4.9008,7.1162,4.3613,3.7943,6.5096,3.4798,3.1266,9.7514,2.822,9.6125,6.5858,7.4828,3
8.325,9.7243,9.7231,6.5493,4.5619,6.0764,3.7254,3.2439,5.8854,3.1359,2.9366,9.5332,3.0736,9.8425,6.6266,7.0369,25
14.0408,12.2299,8.69,3.8748,2.2332,3.0368,1.6905,1.2352,3.3199,1.6265,1.8952,16.009,2.9509,13.4339,6.1544,7.579,155
8.3094,9.4687,9.4257,6.5369,4.7618,6.2219,3.9475,3.5424,6.1608,3.2434,2.9536,8.9539,2.8796,9.6408,6.6399,7.3138,62
15.2354,14.2622,11.2383,5.0182,2.9871,3.5893,1.7292,0.5767,2.0972,0.5328,0.713,15.012,2.0257,14.4989,6.0269,4.457,0
10.3445,10.3563,8.9996,5.2711,3.4236,4.8583,3.0075,2.5846,5.2096,2.5846,2.535,13.2265,2.783,12.5027,6.1158,6.1971,170
7.1048,8.8783,10.0144,7.5709,6.0151,7.4942,4.5961,3.6274,5.8693,3.5403,3.0626,7.9332,2.8342,8.0316,6.4081,7.0196,8
14.0311,12.4277,9.6975,4.4913,2.7853,3.5357,1.9471,1.2022,3.3026,1.2179,1.3429,15.2337,2.3443,14.8733,6.4994,5.0682,0
7.1078,9.3113,10.3002,6.7769,5.0291,6.4709,3.0863,1.5441,3.8413,2.018,2.4609,12.2952,3.8523,12.4255,6.8091,6.6711,26
6.5965,8.0012,8.6589,6.8582,5.3572,7.3949,4.4699,3.9422,6.6316,3.3802,3.0423,9.2486,2.885,9.3538,6.5897,7.5896,152
6.4177,8.6331,10.2449,7.5266,6.0052,7.2989,3.8839,2.1921,4.3055,2.6978,2.8469,10.0964,3.6062,10.5747,6.9737,6.6964,154
7.1717,8.7937,9.4831,6.4975,4.9194,6.49,3.3918,1.9281,4.1005,2.085,2.5054,12.2178,3.7467,12.9593,6.931,6.7791,61
7.6548,10.0511,11.1448,7.2082,5.4152,7.0172,3.2114,1.3191,3.114,1.4202,1.9341,11.791,3.723,12.4865,6.3214,6.188,177
8.3047,9.1697,8.506,5.3704,3.2578,5.1435,3.059,2.7235,6.3967,2.8658,2.8253,11.4507,3.5195,12.7863,7.0462,7.5748,168
15.4288,13.912,10.846,4.9339,2.9824,3.4938,1.671,0.539,1.9814,0.5036,0.7022,15.0192,2.0074,14.5553,6.6497,4.7743,0
8.7306,9.1217,8.2521,5.8686,3.4247,6.0816,4.4642,4.2114,7.6074,4.2015,3.5064,9.9713,2.7514,10.4455,5.5377,5.8239,185
6.6881,9.7663,11.8929,8.1178,6.3914,7.016,3.5848,1.6151,3.6883,2.3739,2.5455,10.233,3.6499,10.1969,6.2879,5.9522,151
8.0124,9.4827,9.6793,6.5235,4.5261,6.1369,3.5887,2.8425,6.0024,3.1375,2.8788,10.1811,2.8559,10.6737,6.5342,6.9442,140
8.8783,9.3307,8.8795,5.8876,4.1335,5.7758,3.5981,2.9903,5.7967,2.8373,2.6337,11.3329,2.813,11.7775,6.3482,6.9868,112
15.2328,14.4663,11.2989,5.0295,3.0136,3.5774,1.7518,0.657,2.2181,0.5936,0.7923,14.6114,2.1365,14.117,5.9185,4.5854,0
8.8578,8.9728,8.1295,5.2803,3.3154,5.0784,3.0793,2.6433,6.4403,3.0337,2.9212,13.043,2.6904,13.9164,5.9517,6.6465,110
8.555,10.2724,10.7315,6.7811,4.8769,6.1302,3.1182,1.6067,3.6868,1.7583,2.0624,12.4799,3.1925,12.693,6.1723,5.883,10
8.7676,9.3451,9.3442,5.939,4.1936,5.6482,2.5638,0.9849,3.3024,1.2454,1.7777,15.8023,3.3275,16.0535,6.0501,5.6545,58
8.6209,8.5346,8.0054,5.1841,3.5122,5.1385,2.8002,1.7597,4.2999,2.0904,2.3006,17.3874,2.8117,15.3288,5.9621,6.2635,179
10.9762,11.3751,9.9917,5.445,3.6978,4.7268,2.564,1.5715,3.6584,1.576,1.8827,13.8366,2.863,13.5995,6.1439,6.0917,160
