@RELATION Edge_direction
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE a16 NUMERIC
@ATTRIBUTE a17 NUMERIC
@ATTRIBUTE a18 NUMERIC
@ATTRIBUTE a19 NUMERIC
@ATTRIBUTE a20 NUMERIC
@ATTRIBUTE a21 NUMERIC
@ATTRIBUTE a22 NUMERIC
@ATTRIBUTE a23 NUMERIC
@ATTRIBUTE a24 NUMERIC
@ATTRIBUTE a25 NUMERIC
@ATTRIBUTE a26 NUMERIC
@ATTRIBUTE a27 NUMERIC
@ATTRIBUTE a28 NUMERIC
@ATTRIBUTE a29 NUMERIC
@ATTRIBUTE a30 NUMERIC
@ATTRIBUTE a31 NUMERIC
@ATTRIBUTE a32 NUMERIC
@ATTRIBUTE a33 NUMERIC
@ATTRIBUTE a34 NUMERIC
@ATTRIBUTE a35 NUMERIC
@ATTRIBUTE a36 NUMERIC
@ATTRIBUTE a37 NUMERIC
@ATTRIBUTE a38 NUMERIC
@ATTRIBUTE a39 NUMERIC
@ATTRIBUTE a40 NUMERIC
@ATTRIBUTE a41 NUMERIC
@ATTRIBUTE a42 NUMERIC
@ATTRIBUTE a43 NUMERIC
@ATTRIBUTE a44 NUMERIC
@ATTRIBUTE a45 NUMERIC
@ATTRIBUTE a46 NUMERIC
@ATTRIBUTE a47 NUMERIC
@ATTRIBUTE a48 NUMERIC
@ATTRIBUTE a49 NUMERIC
@ATTRIBUTE a50 NUMERIC
@ATTRIBUTE class {207,0,154,164,118,172,184,190,203,108,127,152,13,61,155,192,173,37,109,58,125,7,63,186,112,157,168,123,89,174,88,153,117,166,195,94,90,133,151,130,113,150,64,161,126,87,11,17,10,121,171,85,19,177,159,66,65,60,140,95,197,187,12,158,1,92,129,59,180,208,26,175,178,194,181,3,25,62,170,8,185,110,179,160,165,93,107,199,114,169,128,135,14,162,16,134,124,18,206,163,81,132,111,205,188,91,198,5,139,102,84,131,204,9,119,193,202,247,338,346,209,213,353,334,337,254,292,289,336,349,232,294,325,351,347,230,355,216,320,301,282,283,348,297,272,343,212,357,352,385,386,287,332,276,354,340,341,237,211,234,333,242,278,273,335,339,217,330,248,344,256,215,345,329,280,231,350,239,324,285,315,233,286,298,383,293,243,379,295,241,387,288,210,240,259,364,279,214,384,296,291,342,281,300,299,246,274,235,328,356,250,275,380,277,382,321,449,551,498,587,391,553,550,670,585,409,588,545,552,415,482,634,408,405,513,514,671,481,451,584,567,497,484,527,414,548,453,549,445,599,635,448,563,456,389,561,586,480,559,488,582,555,494,577,493,547,442,544,454,420,439,562,598,452,455,546,492,560,583,388,447,390,658,444,443,403,450,393,486,490,496,483,446,392,489,491,542,394,495,458,487}
@DATA
19.2654,15.2577,8.0874,11.3624,13.71,12.2512,5.4492,14.6168,17.7728,16.7257,8.3719,4.5124,5.0991,2.9563,7.2182,3.3368,11.093,3.1677,9.4821,10.2639,16.0269,16.506,11.8158,4.4799,2.5461,2.8124,1.3823,0.7092,2.4196,0.8834,1.1364,13.495,2.269,11.8686,5.6354,6.0138,0.4791,-4.6902,-7.3359,-1.9338,0.2663,-1.4301,-0.6731,1.7104,-1.5362,0.253,12.3586,-11.226,9.5996,-6.2332,0.3784,127
12.3082,13.7532,11.6312,16.4374,16.4556,12.3745,6.3141,10.7259,7.8287,9.2293,8.3211,7.5935,10.9412,7.3826,11.2253,5.495,8.7904,6.0868,9.2886,7.8174,6.6322,8.0123,8.7066,6.9246,5.4405,7.4764,4.553,3.9396,6.5339,3.387,3.0394,9.162,2.8559,9.2613,6.5624,7.5128,1.3801,0.6943,-1.782,-1.4841,2.0359,-2.9234,-0.6134,2.5943,-3.1469,-0.3476,6.1226,-6.3061,6.4054,-2.6989,0.9504,152
14.6053,16.7363,13.9464,16.7306,14.7369,10.1811,3.1715,9.8919,10.4946,14.9541,12.484,11.4603,14.534,7.3796,9.3403,3.1491,5.2491,1.7033,4.8106,4.441,7.6291,12.4142,17.1646,12.6697,10.5744,11.5743,5.9309,1.2583,1.9429,0.8322,0.7411,5.6309,0.9675,5.1948,2.5092,2.966,4.7851,4.7504,-4.4949,-2.0953,0.9999,-5.6434,-4.6726,0.6846,-1.1107,-0.0911,4.8898,-4.6634,4.2273,-2.6856,0.4568,13
13.1599,13.92,11.0663,16.4158,17.1462,12.4953,5.1074,10.6891,8.7901,10.316,8.1919,7.2088,10.8459,6.7174,11.5125,4.5903,9.1221,5.8548,9.6372,7.2129,7.023,8.5625,9.1304,6.3181,4.7252,6.4485,3.3904,2.1525,4.5751,2.294,2.651,12.0863,3.6184,12.7131,7.0811,7.2302,1.5395,0.5679,-2.8123,-1.5929,1.7233,-3.0581,-1.2379,2.4226,-2.2811,0.357,9.4353,-8.4679,9.0947,-5.632,0.1491,61
17.1462,12.429,5.843,10.5637,14.8832,16.0615,7.6395,15.4339,14.4019,11.6981,6.008,3.6788,4.8684,2.9809,9.1028,5.379,16.1842,4.4761,11.9458,9.2759,13.4935,11.8474,8.5586,3.876,2.2551,3.1131,1.7912,1.3452,3.5346,1.7267,1.9448,16.5553,2.8489,13.4392,6.1689,7.5017,-1.6461,-3.2888,-4.6826,-1.6209,0.858,-1.3219,-0.446,2.1894,-1.8079,0.2181,14.6105,-13.7064,10.5903,-7.2703,1.3328,155
12.0638,12.2342,9.3009,15.2296,18.275,14.2792,7.0107,11.6067,8.5533,8.7733,7.5164,5.7181,9.1389,6.4262,12.4433,5.9444,9.9678,6.3654,10.3337,8.8194,7.5405,8.6857,8.283,6.0164,3.8609,6.1654,3.9211,3.7479,7.2133,3.432,3.0468,10.8778,2.8609,11.1982,6.2008,6.9492,1.1452,-0.4027,-2.2666,-2.1555,2.3045,-2.2443,-0.1732,3.4654,-3.7813,-0.3852,7.831,-8.0169,8.3373,-4.9974,0.7484,192
16.2304,15.7108,11.2175,15.2729,14.8551,10.8593,4.1007,11.7532,13.5239,14.983,9.9369,8.3582,11.4675,6.3724,9.9425,3.6442,5.9741,1.8998,6.7062,7.1912,13.7987,15.2214,14.7386,8.8443,6.3562,8.2881,3.8595,0.8543,1.8958,0.6078,0.6696,7.1393,1.1582,7.6047,4.1359,4.8276,1.4227,-0.4828,-5.8943,-2.4881,1.9319,-4.4286,-3.0052,1.0415,-1.288,0.0618,6.4697,-5.9811,6.4465,-3.4688,0.6917,173
14.6927,15.0501,11.3321,15.5612,15.8359,11.7456,4.5515,11.2308,10.4297,12.3636,9.1199,7.4566,10.1111,5.8708,9.9134,3.7334,9.2673,5.2635,9.3557,7.115,8.068,10.346,10.9404,6.6365,4.7582,5.7935,2.6457,1.2616,3.7387,1.8915,2.2655,12.4292,3.524,12.7141,6.5788,6.4083,2.278,0.5944,-4.3039,-1.8783,1.0353,-3.1478,-1.3841,2.4771,-1.8472,0.374,10.1637,-8.9052,9.1901,-6.1353,-0.1705,37
13.5287,12.5319,8.8954,14.0974,17.1212,14.1851,7.1875,12.4527,10.0398,9.8728,7.3914,5.5976,8.4073,5.692,11.5805,5.6547,10.5173,5.7615,10.6227,8.8624,8.806,9.3253,8.6851,5.6164,3.7862,5.4072,3.3788,2.9721,6.2767,3.0217,2.8509,11.1181,3.0922,11.9009,6.6199,7.1425,0.5193,-0.6402,-3.0687,-1.8302,1.621,-2.0284,-0.4067,3.3046,-3.255,-0.1708,8.2672,-8.0259,8.8087,-5.281,0.5226,109
14.2303,12.37,7.7742,14.1771,17.6412,15.0365,5.9611,12.8097,11.1806,10.7571,7.0795,5.8147,8.4316,4.754,11.8366,5.0617,12.3603,4.1407,11.1662,7.417,9.5898,9.7813,9.3506,5.7341,4.1107,5.4395,2.4866,0.9109,2.8789,1.0846,1.6582,15.7131,3.2812,15.8227,6.3729,5.7849,0.1915,-0.4307,-3.6165,-1.6234,1.3288,-2.9529,-1.5757,1.968,-1.7943,0.5736,14.0549,-12.4319,12.5415,-9.4498,-0.588,58
12.3996,13.0382,10.3598,16.1971,18.0527,13.4901,5.7405,10.7219,8.4043,9.5645,7.8718,6.9037,10.341,6.6359,12.2066,5.2842,9.53,5.8638,9.6732,7.721,6.9249,8.3173,8.9142,6.5166,5.0109,6.6883,3.8942,2.8893,5.6663,2.8778,2.7336,10.9111,2.9643,11.6752,6.7009,7.3152,1.3924,0.5969,-2.3976,-1.5057,1.6774,-2.7941,-1.0049,2.777,-2.7885,-0.1442,8.1775,-7.9468,8.7109,-4.9743,0.6143,125
14.1712,12.6301,8.2711,13.882,16.9216,14.822,6.3923,12.9097,10.66,10.6991,7.4422,6.0612,8.2441,4.9044,10.7003,4.8704,12.811,4.7949,11.3013,7.511,8.697,9.3936,9.3968,5.9137,4.4363,5.5676,2.8695,1.4471,3.5818,1.8374,2.1381,14.9754,3.0566,14.2646,6.4722,5.9522,0.6966,0.0032,-3.4831,-1.4774,1.1313,-2.6981,-1.4224,2.1347,-1.7444,0.3007,12.8373,-11.9188,11.208,-7.7924,-0.52,7
14.0914,12.9686,8.9821,14.4954,17.4205,14.0523,5.9641,12.0256,10.915,11.1671,7.765,6.1885,8.7411,5.3336,11.3985,4.881,10.9446,4.9072,9.9321,7.8264,9.3667,10.0134,9.6788,6.0047,4.3215,5.438,2.952,1.8921,4.2217,2.284,2.426,11.6805,3.1706,12.4958,7.057,6.997,0.6467,-0.3346,-3.6741,-1.6832,1.1165,-2.486,-1.0599,2.3296,-1.9377,0.142,9.2545,-8.5099,9.3252,-5.4388,-0.06,63
13.9511,12.3506,8.2597,13.426,16.8851,14.6198,7.4548,13.0529,10.573,10.0252,7.1943,5.317,7.7827,5.1654,11.2441,5.7098,11.2773,5.6269,11.0314,9.0528,9.439,9.6088,8.7815,5.484,3.4785,5.1325,3.121,2.7584,6.0799,3.0036,2.827,11.3561,2.9196,12.3296,6.5957,7.0847,0.1698,-0.8273,-3.2975,-2.0055,1.654,-2.0115,-0.3626,3.3215,-3.0763,-0.1766,8.5291,-8.4365,9.41,-5.7339,0.489,186
13.3512,12.1785,8.4381,14.0022,17.3309,14.7516,7.3172,12.6302,9.9903,9.6625,7.2674,5.7658,8.3743,5.6056,11.6216,5.7569,11.3793,5.321,10.8553,8.3998,8.7371,9.1347,8.7391,5.8292,4.0526,5.8074,3.645,3.0564,5.9384,2.8044,2.5828,11.6056,2.7399,12.1353,6.3149,6.8774,0.3976,-0.3956,-2.9099,-1.7766,1.7548,-2.1624,-0.5886,2.882,-3.134,-0.2216,9.0228,-8.8657,9.3954,-5.8204,0.5625,112
13.0951,12.3573,8.9547,13.0356,16.1122,14.6412,8.7314,13.0725,9.8139,9.752,8.131,5.6295,8.1591,5.9146,10.6836,6.5137,10.4752,5.7073,10.1833,9.0369,8.9214,9.5114,8.7462,6.0457,3.7005,6.1208,4.4267,4.0685,7.2596,3.9577,3.3836,9.2033,2.7347,9.8003,5.7863,6.3332,0.59,-0.7652,-2.7005,-2.3452,2.4203,-1.6941,-0.3582,3.1911,-3.3019,-0.5741,5.8197,-6.4686,7.0656,-4.014,0.5469,157
13.0595,12.2563,8.506,14.1122,17.7312,14.6266,7.1892,12.5191,9.553,9.4646,7.37,5.3268,8.0908,5.3356,11.8421,5.816,10.6788,6.2236,11.2354,9.0634,8.0814,8.9785,8.4628,5.4594,3.2918,5.3153,3.1028,2.7779,6.3923,2.8655,2.7946,11.3971,3.5128,12.8375,7.0621,7.6682,0.8971,-0.5157,-3.0034,-2.1676,2.0235,-2.2125,-0.3249,3.6144,-3.5268,-0.0709,8.6025,-7.8843,9.3247,-5.7754,0.6061,168
12.9874,11.7548,8.1012,14.1946,18.4172,15.086,7.1489,12.31,9.792,9.3223,6.9694,5.1593,7.9569,5.4112,12.7026,6.0553,10.9694,5.8161,10.8687,8.9767,8.6949,9.072,8.2544,5.3466,3.4761,5.2729,3.2057,2.8279,6.6091,2.9844,2.8017,11.8246,3.0388,13.1,6.3867,7.1044,0.3771,-0.8176,-2.9078,-1.8705,1.7968,-2.0672,-0.3778,3.7812,-3.6247,-0.1827,9.0229,-8.7858,10.0612,-6.7133,0.7177,109
14.502,15.7063,12.6014,16.0145,15.0622,11.0163,4.3742,10.7231,9.8522,12.5445,9.7467,8.5186,11.2492,6.4201,9.4511,3.6928,8.6163,5.0016,8.6046,6.3024,7.247,9.6751,11.0942,7.435,5.7046,6.8721,3.3637,1.4035,3.5394,2.0172,2.4147,11.2923,3.8403,11.7508,6.5311,5.8191,2.4281,1.4191,-3.6592,-1.7304,1.1675,-3.5084,-1.9602,2.1359,-1.5222,0.3975,8.8776,-7.452,7.9105,-5.2197,-0.712,123
13.4273,14.9845,12.462,16.5094,15.6529,11.5283,4.9264,10.5092,8.4774,10.8407,8.974,8.3168,11.4432,6.7412,10.2675,4.3743,8.7885,5.8378,9.0788,6.8598,6.4676,8.2873,9.6412,7.1358,5.6107,7.284,3.8079,2.2471,4.7196,2.8219,2.9389,10.3866,3.5668,10.8985,7.0672,7.1189,1.8197,1.3539,-2.5054,-1.5251,1.6733,-3.4761,-1.5608,2.4725,-1.8977,0.117,7.4477,-6.8198,7.3317,-3.8313,0.0517,89
12.232,13.5236,11.0871,16.957,17.8729,12.8901,5.1252,10.3121,7.5977,9.2202,7.8766,7.0341,10.9274,6.8298,12.2277,4.9669,9.3495,6.5283,9.9298,7.5122,6.0773,7.735,8.4635,6.1461,4.5846,6.5265,3.3444,2.3855,5.6132,2.8288,2.9567,11.8287,3.7175,12.5184,7.4275,7.8463,1.6577,0.7285,-2.3174,-1.5615,1.9419,-3.1821,-0.9589,3.2277,-2.7844,0.1279,8.872,-8.1112,8.8009,-5.0909,0.4188,174
12.0055,13.525,11.5795,16.4095,16.6126,12.5181,6.6265,10.7233,7.7259,9.0529,8.2557,7.4103,10.7521,7.5768,11.2583,5.5873,8.795,6.2786,9.2925,8.0146,6.5467,7.9083,8.477,6.8572,5.3293,7.44,4.8963,4.1892,6.8068,3.6402,3.2253,9.1031,2.9597,8.9987,6.3876,7.2345,1.3616,0.5687,-1.6198,-1.5279,2.1107,-2.5437,-0.7071,2.6176,-3.1666,-0.4149,5.8778,-6.1434,6.039,-2.6111,0.8469,88
15.2385,17.1854,14.0275,16.3853,14.2457,9.6552,3.1645,10.0978,10.6492,14.8994,11.7982,10.2075,12.2496,6.6832,8.2376,2.9445,6.6626,3.7259,6.6073,5.3351,7.3139,11.1763,13.941,9.1498,6.9388,7.4767,3.5095,0.9522,2.2358,1.252,1.8233,10.4222,3.8717,10.4394,5.0851,4.4123,3.8624,2.7647,-4.7912,-2.211,0.5379,-3.9672,-2.5573,1.2836,-0.9838,0.5713,8.5989,-6.5505,6.5677,-5.3543,-0.6728,153
15.8032,13.3341,8.0866,13.5881,16.4701,13.6413,5.8385,13.238,13.93,12.8778,7.5691,5.5564,8.1229,4.8464,10.7972,4.4505,10.0898,3.0912,10.0323,8.6364,13.3747,12.9379,10.7892,5.5984,3.686,4.8812,2.3518,1.0691,2.7829,0.9035,1.1458,12.9888,2.6154,13.0561,6.061,5.7584,-0.4368,-2.1487,-5.1908,-1.9124,1.1952,-2.5294,-1.2827,1.7138,-1.8794,0.2423,11.843,-10.3734,10.4407,-6.9951,-0.3026,117
17.4239,13.212,6.6551,11.116,14.2248,14.1465,7.3608,15.8608,15.5072,12.8916,6.73,4.3478,5.4129,3.2025,8.1014,4.1135,13.1032,3.5819,13.3258,9.6823,14.3855,12.8995,10.0822,4.5263,2.7774,3.318,1.6355,0.7641,2.4405,0.8039,1.0401,15.7781,2.4288,15.6105,6.7941,4.7155,-1.486,-2.8173,-5.5559,-1.7489,0.5406,-1.6825,-0.8714,1.6764,-1.6366,0.2362,14.738,-13.3493,13.1817,-8.8164,-2.0786,0
12.7082,12.6066,9.3029,16.4516,19.5001,14.286,4.7217,10.423,9.6047,10.7284,8.0472,6.8267,11.1243,6.494,14.482,5.1605,9.6502,3.6342,8.4368,5.8109,8.4695,10.117,10.5871,6.7512,4.7698,6.7357,3.0975,1.3132,3.1857,1.1109,1.6032,13.2929,3.7218,14.0881,5.745,5.4112,1.6475,0.4701,-3.8359,-1.9814,1.9659,-3.6382,-1.7843,1.8725,-2.0748,0.4923,11.6897,-9.5711,10.3663,-8.3431,-0.3338,166
13.027,11.674,8.2978,12.2246,15.4236,15.6836,9.7659,13.9034,9.7291,9.2479,7.7707,4.9631,7.75,5.9748,10.1707,6.8976,11.9418,6.0329,10.9123,8.6089,9.0934,8.8782,7.6377,5.1684,2.8831,5.4747,4.4921,4.2991,7.3485,4.3802,4.0145,11.2406,3.2773,10.761,5.45,5.6012,-0.2152,-1.2405,-2.4693,-2.2853,2.5916,-0.9826,-0.193,3.0494,-2.9683,-0.3657,7.2261,-7.9633,7.4837,-5.311,0.1512,195
11.9427,11.5586,8.5211,15.5481,19.5094,15.4116,6.3212,11.1872,8.5754,9.0147,7.1532,6.0717,9.1993,5.9798,13.4149,5.8064,11.4844,5.4691,10.2355,7.5955,7.3991,8.3097,8.4538,6.0523,4.5658,6.32,3.7745,2.8045,5.7025,2.789,2.6205,12.1059,2.722,13.0556,6.3204,7.0044,0.9106,0.1441,-2.4015,-1.4865,1.7542,-2.5455,-0.97,2.898,-2.9135,-0.1685,9.4854,-9.3839,10.3336,-6.7352,0.684,94
13.0838,12.7916,9.4308,15.0548,17.6786,13.9049,6.3495,11.706,9.315,9.769,7.5943,5.9735,9.1033,5.8737,11.8696,5.4385,10.2351,6.0499,10.3525,8.4256,7.7969,8.7972,8.5995,5.7643,3.9101,5.7162,3.3227,2.5521,5.8263,2.8451,2.8781,11.9192,3.3098,12.7413,6.7884,7.2328,1.0003,-0.1977,-2.8352,-1.8542,1.8061,-2.3935,-0.7706,3.2742,-2.9812,0.033,9.0411,-8.6094,9.4315,-5.9529,0.4444,90
16.9005,15.3546,10.1564,13.2482,14.0554,11.5196,5.5202,13.2451,13.5459,14.1404,9.216,6.7275,8.2257,4.7777,8.0313,3.6049,9.2524,4.2413,9.5862,8.6508,10.9369,12.3278,11.7363,6.4706,4.4257,4.8954,2.4338,1.219,3.188,1.4993,1.8754,11.9952,3.165,12.0296,5.8883,5.9139,1.3909,-0.5915,-5.2657,-2.0449,0.4697,-2.4616,-1.2148,1.969,-1.6887,0.3761,10.1198,-8.8302,8.8646,-6.1413,0.0256,133
17.2747,12.7741,6.1843,10.7912,14.1253,14.5142,8.0181,16.3181,15.4187,12.208,6.3836,4.0972,5.3563,3.2694,8.2102,4.4055,13.2023,3.5089,13.8329,10.1068,14.7199,12.515,9.5981,4.4372,2.667,3.4254,1.8272,1.0505,2.8976,0.9691,1.1106,15.5866,2.2181,15.2405,6.8965,4.8408,-2.2049,-2.9169,-5.1609,-1.7702,0.7584,-1.5982,-0.7767,1.8471,-1.9285,0.1415,14.476,-13.3685,13.0224,-8.344,-2.0557,0
