@relation Gabor_Edge_LDA

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}

@data
10.889361,-3.058938,-2.944594,-3.133356,1.791294,0.201802,-1.896621,0.977803,4.911674,0.731623,6.777452,-0.403797,2.870617,-4.816553,2.152345,1.690852,-3.765844,-2.713682,0.995192,-1.364347,-2.172094,-1.872088,-2.633925,0.072573,0.881876,1.624037,0.863605,-0.345035,-1.970661,0.824456,-0.237612,-2.042033,-0.782259,1.485627,-1.269591,1.744961,0.209497,1.818266,-0.767084,1.969043,-2.215024,2.101986,1.50194,0.199025,-1.660613,-0.300717,0.577648,-1.027137,-0.069516,-0.178374,0.740267,0.907797,8
3.666541,3.62997,2.09644,-2.440835,-3.183402,3.674584,-2.39736,-0.97213,-3.049911,1.298214,2.179247,-0.401956,-1.262127,0.023832,1.454695,-1.006429,0.089563,-0.073463,1.735521,1.176241,2.532195,0.326837,3.843062,3.348038,-3.470659,-2.037596,4.777628,-2.569476,-1.363822,0.328981,0.314858,-2.496018,-1.488944,3.023095,0.601266,-1.3686,-1.943168,1.142222,-0.171433,-1.754187,3.256106,2.123938,0.757226,-1.357393,1.527783,0.197802,-2.692257,-0.155315,0.683201,-0.821974,0.317251,-0.809964,9
-11.94131,-11.509459,6.533568,-3.328467,0.352756,8.740454,1.483776,-0.676894,2.604096,-0.297053,0.769688,1.863374,-0.737676,-0.995766,-2.913668,0.858305,-0.667126,2.118397,-0.866264,0.945957,-0.643181,0.019008,-0.816883,-1.597483,-2.048192,-1.548814,1.754615,0.602008,1.065836,1.067595,1.509733,0.340972,-0.462489,0.86639,0.542144,1.587677,-0.890169,1.083913,0.088571,0.671307,-1.321377,0.36021,-1.27676,-0.851888,-0.485541,0.567753,0.232339,1.308831,-0.128027,-0.08844,4.250623,0.628556,0
-2.167701,0.259408,3.398878,-1.200822,0.487842,-1.793873,-1.263191,1.160174,0.82423,-2.685908,-3.599579,-1.358677,4.633257,-0.361926,2.771582,0.060357,5.422003,-0.190875,-2.20607,-2.735218,-3.62692,0.558022,2.313446,-0.235288,3.021457,3.592427,2.623086,3.466619,3.743752,-1.328353,1.237916,-0.597994,-4.163455,-0.801029,-0.261867,-1.516968,-0.081223,-0.574803,1.562433,-1.451453,-2.493825,-0.300359,-1.161272,1.052355,0.934768,-0.353725,-0.548333,-1.186258,-0.131694,0.354242,0.10583,1.681878,10
1.697978,5.462532,2.243561,-2.608319,-2.392395,3.423983,-3.348494,-2.867353,-2.174763,1.271193,3.063747,-0.257249,-1.396441,-0.660246,1.348576,-1.282951,1.142162,-0.243123,0.960952,0.221458,3.61345,-0.244884,2.474709,1.033637,-1.858786,-1.328557,3.731161,-1.786169,-0.990118,0.393301,2.171326,-2.098083,-0.53952,2.060347,1.604881,-0.550679,-1.461585,1.677697,-0.008606,-1.679575,2.810134,1.881106,0.360549,-0.724235,0.322102,0.361005,-1.541889,0.714485,2.200615,0.399807,0.60632,0.281957,9
-12.176506,-9.80387,6.688475,-4.22962,0.644982,7.618233,0.981505,1.161048,2.595046,-1.122693,0.194119,0.531328,0.932899,0.184504,-1.896712,2.182846,-0.646298,2.360458,-0.34521,0.985976,-0.304614,0.990243,0.952306,-2.075913,-0.868582,-0.353766,1.25165,1.220044,0.207403,1.033914,0.175304,-0.741196,-1.79627,0.747055,0.314772,-0.560886,0.580201,0.720193,1.025782,0.810585,-1.892826,-1.915431,-1.629393,-1.631941,0.475698,0.642318,0.738472,0.849659,-2.724144,0.592878,1.87183,-1.100036,0
9.476769,-1.829529,-2.135205,-2.832347,0.391719,-0.022779,-2.406352,1.10944,4.051611,1.051801,6.299493,-1.087341,3.947652,-3.154635,0.602575,1.694918,-2.456151,-2.014694,2.518997,-0.660269,-3.273445,-1.58352,-2.441236,1.181984,0.154743,0.944011,0.017384,0.150515,-0.349945,-0.567742,-0.714789,-0.418217,0.539822,1.493129,-2.460461,-0.190485,0.972744,0.669639,-0.562232,3.419681,-2.575902,1.399076,-0.562968,-2.293741,-1.357133,-0.704582,0.294422,-2.259203,-0.17399,0.296248,0.43892,1.802312,8
-4.114562,-0.649308,1.342884,3.202202,-1.952512,-1.040574,1.307892,5.599721,2.626104,2.098227,-4.978925,0.684629,1.28957,2.097227,0.58421,2.029891,1.7937,-1.339638,-3.485539,0.419413,4.405627,0.350099,-2.223121,-0.844077,2.094453,3.779634,1.149133,1.357151,0.783735,0.54586,-1.868915,0.075843,-0.172002,0.979019,1.581013,-0.223408,1.760998,1.259272,-0.147657,1.713916,0.00362,-1.773009,-0.981077,-1.048547,1.830561,0.098394,1.425241,-0.727057,0.511528,-0.836609,0.390861,-0.841057,5
-10.830643,-10.426584,6.163306,-2.808051,0.410021,9.250896,2.010919,1.061878,1.128292,-0.044344,-0.424965,2.063093,-1.105264,0.063468,-3.504203,1.449838,-0.65868,1.287278,0.317573,1.138324,-1.796904,-0.654081,-0.204617,-2.423442,-0.888295,-1.646174,-0.994217,-1.056847,1.365544,0.867075,0.702305,-0.00747,-0.361281,-1.978984,-0.573376,0.379131,0.424712,0.868821,-0.110013,0.752313,0.993058,-0.612299,-1.777461,0.233021,-0.527086,0.211818,0.611438,0.761297,-1.497435,0.663089,2.947688,-0.422043,0
-0.147778,-0.807784,3.977943,-0.274574,-0.85497,0.113275,-2.106867,0.799066,1.136596,-3.215462,-3.708007,-2.273705,4.148878,-1.220895,1.308162,1.35873,5.187067,0.034983,-2.218283,-0.845123,-0.892416,0.592073,2.709194,-1.367902,3.46718,2.256807,2.102737,1.74669,1.258214,-1.125299,1.891005,-1.055996,-1.929015,-1.970886,0.906885,-1.622412,1.750873,0.69461,1.305968,-1.401427,-0.171415,0.007075,-1.968566,1.138536,0.756275,-0.059441,0.198386,0.502478,-0.795263,1.187498,-1.359884,-1.754829,10
-6.655565,-5.355173,4.988804,-1.491051,1.73895,-0.666933,-0.746267,1.025845,0.948071,-1.732333,0.466742,2.667968,6.819485,3.106438,0.759118,4.975329,2.202563,-2.174575,-2.56295,3.15273,1.744277,1.433438,-1.36186,3.255918,2.295372,5.774622,-2.418675,-1.64035,1.37157,1.142307,-1.724838,1.502278,-1.445437,3.512859,1.285545,0.423163,1.273558,-1.323895,-1.464333,-0.568839,0.904267,-0.340583,0.991605,-1.799453,0.75081,0.342193,-0.811904,-0.777367,0.780043,0.203725,-0.508482,-1.033871,7
0.60814,5.878012,1.999813,-1.624793,-1.289193,-6.118221,-2.22624,-0.538072,2.845249,-3.551158,0.907811,8.577236,-0.779238,-9.987239,-3.54916,8.239772,-8.171752,7.511533,2.554165,-3.196022,0.547269,0.121502,4.16532,3.742433,-1.299616,5.838332,1.326865,1.565558,-1.670069,-4.178295,-1.18882,4.039547,-1.191313,-2.040419,-1.293131,4.111216,1.04174,1.18399,0.171015,-3.783186,0.064599,-1.119919,2.199871,0.488797,-1.583084,-0.730369,-1.230947,0.475412,0.418794,0.899763,1.780278,0.02053,11
7.865676,3.928055,6.762051,-1.857416,-3.638423,1.034547,2.002437,-4.911275,3.387278,-0.88217,5.953389,-1.327458,0.072101,-5.885256,-5.09818,-1.588881,0.600872,-9.085512,2.522677,-1.615211,0.362139,-1.613995,-3.323995,2.962544,-0.061806,2.207416,4.885426,0.23367,0.139567,2.90467,4.930928,-2.957318,1.030879,0.031168,0.668356,-0.679442,2.467106,-2.567859,-3.105902,-0.465597,-0.211034,-1.7435,-1.442308,-3.558296,-2.663339,-0.633402,-1.449337,-0.690781,-0.105422,0.115352,-0.378949,-0.190982,12
-10.896895,-9.991975,7.323592,-2.792856,0.988307,9.550973,1.058789,1.145079,1.862452,-0.096102,-0.86083,2.197478,-0.223742,-0.311531,-2.514669,1.470469,-1.159796,1.227983,-0.892036,-0.630272,-1.085514,0.124384,0.937553,-2.355246,-0.54076,-0.235212,-0.504617,0.486593,0.650633,0.855493,1.238956,-0.279266,-0.809113,0.31747,-0.356691,0.666217,-0.142647,-0.561897,0.574669,0.479747,-0.964864,-1.213409,-1.592551,0.14761,-0.301013,0.563758,0.309575,0.750274,-1.375642,0.321961,1.531833,0.596461,0
-0.450337,8.966951,0.167504,-2.640877,0.309558,-7.641571,0.779814,-0.114208,-0.718534,-3.882051,-1.493168,7.411829,-0.91681,-8.62421,-5.346743,6.488029,-2.690873,10.19669,4.003583,-0.036169,3.697954,0.273245,2.354218,2.290039,-1.239785,3.285331,1.915295,1.549623,0.103667,-3.806909,-2.808859,2.797023,-0.806677,-0.036275,-4.252795,0.784865,-1.438838,-1.594819,-1.497265,-2.273552,-2.289006,-0.813104,0.208633,2.105731,-2.041097,0.080943,-1.592123,-1.190006,0.518442,-0.961685,2.207973,0.560616,11
8.882536,3.072097,5.863682,-2.875175,-3.499546,2.008925,1.234393,-4.02274,3.096761,-0.679531,5.98872,-2.909459,1.325512,-5.470633,-1.890447,-1.083598,-0.233833,-6.974388,1.898578,-0.259811,-0.5939,-0.370186,-3.178833,1.68475,-1.13633,0.292041,4.47338,0.18002,1.254542,0.369321,3.06375,-2.314338,1.719644,0.014086,0.802094,-1.479375,-1.159244,-2.11146,-2.026237,-1.545781,0.183763,-0.214562,-0.229889,-1.512148,-0.221195,0.509449,-1.764266,-0.567796,0.102278,0.587234,0.677096,-0.122904,12
-11.48422,-10.778663,7.493327,-3.393699,0.240999,11.545366,0.99844,0.398954,1.516327,-1.021808,0.285784,1.503681,-0.605347,-1.106107,-2.463996,-0.323639,0.15131,0.27384,1.039007,0.048071,-0.92475,0.980004,-0.865568,-0.653879,-1.115634,-1.96588,0.285934,0.848179,1.097615,0.385485,1.278126,0.701835,1.345017,-1.545558,-2.104854,1.45963,-0.005006,1.56496,-2.055396,0.070959,-0.732382,0.645498,0.617364,1.285317,-0.451741,-0.788762,0.803468,0.826805,-1.075053,1.102366,3.988508,-1.260284,0
-7.071679,-5.221476,4.846831,-0.976967,1.976465,3.298569,-1.002636,-1.367734,2.245856,-1.068897,0.993659,0.041346,2.343172,-0.546716,1.269881,0.098892,3.117651,-2.499707,-2.290322,-0.33674,-0.074058,-1.264013,0.993173,3.21812,2.194114,1.667675,0.044216,1.473489,-0.956815,-1.232442,-1.300235,1.845878,2.24595,1.086792,0.992572,-1.585474,-1.11929,-0.026458,-0.863105,-1.23724,1.664014,0.088662,2.143764,0.727878,1.163826,-0.32644,-0.789612,-0.469223,-0.646274,-1.363345,-0.377866,0.774787,0
16.245432,-5.576813,35.955327,47.29484,10.344153,-3.523744,-24.470473,-2.246662,10.828425,7.140978,3.608917,4.406274,2.48779,3.273318,-4.660009,0.228527,-1.212284,3.013284,1.8615,-6.012279,3.942964,8.434289,2.766906,4.202095,4.366405,-3.916586,4.404144,0.739614,-1.158436,2.947245,0.377205,-3.469409,1.777184,-1.716279,-2.796092,2.052012,1.199221,-1.37614,2.380271,1.931533,-0.322039,1.215567,1.903299,-0.242528,2.748475,0.105736,1.084374,-2.429135,0.247055,-1.13686,3.643172,-1.198523,13
-10.745453,-10.340399,7.894519,-2.984545,0.815467,9.330102,0.059206,0.61702,1.79766,-1.254719,-0.49564,1.180133,-0.685359,0.371704,-2.304399,0.291331,-1.548177,2.092279,-0.051419,1.186265,-0.179154,1.526814,-0.166893,-1.833271,0.281823,-1.956969,-0.416901,-0.167857,0.160408,0.270654,1.623567,1.455804,-0.208418,-0.789109,-1.816689,1.784473,-1.057526,0.570336,0.945929,0.280361,-0.726134,0.547101,-0.303592,-1.097265,-0.995887,0.076534,0.320311,0.835903,0.618754,-0.61419,2.029116,-2.148974,0
12.428983,-2.205146,-2.094687,-0.277266,-6.710853,-0.702921,0.686854,-0.415168,0.599456,3.234587,-0.375618,-0.117223,2.001279,2.24171,-2.703896,1.401395,-2.286346,0.841677,4.162393,-0.492621,-2.087318,2.972882,-1.099249,-1.342834,-0.356237,2.112692,-1.631381,-0.263343,0.937546,-0.354884,-3.61984,-1.771359,-1.193019,-0.743865,0.87362,-0.5159,-1.488369,-1.77991,0.226768,-1.645222,0.631088,-0.702003,1.977238,-0.305203,-0.370443,0.640256,0.772675,0.658857,0.528655,-0.514292,1.444465,0.640582,14
16.737529,-5.045727,36.73028,49.190019,8.770607,-3.377589,-24.980696,-1.6627,10.798111,7.556992,2.184327,4.056269,2.608668,4.358788,-4.802062,2.224523,-2.349695,3.597079,1.038503,-6.201841,4.058615,9.250941,3.119023,2.680623,4.956839,-4.778318,4.629439,0.761591,-1.843055,1.595738,0.71546,-2.691257,1.573352,-0.636125,-2.591469,1.212858,-0.328792,0.238522,2.171924,2.24311,-1.457577,1.893187,0.463493,0.786679,2.095293,1.414834,-0.630123,-0.549769,0.312118,-0.224759,1.828456,0.833036,13
-11.637812,-10.850135,7.025291,-1.42331,-0.876018,9.169149,0.782969,1.238883,2.092262,-1.710766,-0.33934,1.257561,-0.495711,-1.399615,-2.869887,0.035138,0.144733,1.434681,1.802165,-0.884074,1.91641,1.528875,-1.027406,-1.839595,0.669013,-1.380338,0.537647,0.450119,1.034467,1.73968,1.912528,0.240941,1.152646,-0.125947,-1.036046,0.151373,0.195163,1.890821,-1.287199,1.296984,-0.912607,-0.302008,0.554984,0.621316,-0.292407,-0.667671,0.589493,-2.130428,-1.135025,1.4429,2.417524,1.410594,0
12.769488,-1.996036,-1.260841,-0.10997,-7.139673,-0.859822,1.339982,-1.397417,2.21316,1.453935,1.10101,-0.915668,3.647675,1.586209,-3.346334,1.017724,-2.257219,-0.173545,2.879199,-0.065802,-1.437294,2.957769,-3.639155,-1.598022,-0.388228,2.142469,-2.057901,1.028065,0.19383,-0.582961,-2.308118,-1.799289,-2.09016,-0.332569,0.170688,0.236854,-0.237614,-0.719717,-0.329229,-0.413258,-0.614696,-0.02332,2.17093,0.453772,0.305861,0.338009,0.266055,1.138005,-0.292538,0.601604,0.213195,-1.900663,14
16.776608,-4.094742,38.657064,52.027823,8.445683,-3.595953,-26.308672,-0.458165,10.896374,8.432326,3.149594,4.707535,3.557589,4.420982,-4.224313,3.632636,-2.416597,6.035015,1.574771,-5.994457,3.845071,9.524488,2.849808,4.149731,6.057888,-5.361529,4.408392,1.342236,-1.68387,1.312782,0.314388,-2.762258,0.09758,-0.974727,-2.042437,2.257897,-0.715588,1.163239,2.619098,1.552245,0.033112,3.121931,-0.008343,0.534914,1.582022,1.864761,-1.346218,-0.022209,-0.519952,-0.166021,0.854373,0.066313,13
-11.519235,-9.817087,6.414578,-3.935644,0.689465,10.694884,1.465661,1.54967,1.548739,-0.028092,-1.090071,1.419108,-0.469914,0.042956,-2.449167,0.035074,-1.154973,-0.196502,1.820115,-0.868201,-1.055155,-0.934762,-0.178352,-2.786648,-1.502152,-0.314521,-1.240615,0.319232,0.986193,0.823327,-0.534407,-0.613329,-0.626905,-0.095411,-0.194016,1.223712,-0.714885,0.773969,-0.042727,1.113327,-0.418229,-0.749654,-0.911334,-0.529967,0.190554,0.402633,-0.80686,0.281489,-0.930862,1.155447,3.29777,-1.201149,0
-11.866834,-11.298071,8.013166,-3.790831,1.112957,11.269002,1.03032,1.049909,2.75751,-0.520459,-0.12693,1.225245,-1.389459,0.898151,-3.242913,0.64664,-0.108308,0.678565,1.558074,0.339421,-1.77092,0.168516,0.829848,-1.956483,0.355461,-2.767869,-1.975208,0.038252,0.521,-0.328737,0.272621,0.001622,0.062674,0.979516,-0.394103,0.866826,-0.489167,0.311208,0.384699,0.495645,-2.145468,-0.498424,0.00878,-0.154147,-1.133763,-0.438273,1.136839,1.508126,-1.517094,1.053886,2.824278,1.587425,0
-12.888416,-10.805956,4.798577,-2.540778,-0.150218,5.984583,-0.899417,1.221515,0.250707,0.06776,-2.490382,0.329684,-0.288059,-2.245489,-2.422551,-1.933152,-2.047775,-0.467934,2.648719,-1.61054,-0.725991,-1.616141,0.823666,-1.650649,0.192977,-0.968097,-1.034731,0.998909,0.153892,-0.408735,2.000469,-2.518117,0.471244,1.570671,-0.163005,0.272089,-0.544091,1.14347,1.167224,1.262527,-0.717701,-1.818299,-1.598153,-1.39962,1.329323,1.068625,-0.123339,1.787148,-0.867447,-1.177788,3.015595,-1.182075,0
-4.899952,2.035592,-2.951055,6.041594,1.119058,-4.654547,8.990835,3.608378,3.923904,-0.307477,-3.264818,0.451334,-1.502483,2.37068,2.399308,-0.013289,-2.173317,1.960697,8.06666,3.756479,4.657077,-2.060471,3.435459,1.93094,-2.309168,0.988257,-5.019667,-3.559143,2.142574,-6.113965,-0.282607,-0.367454,0.487704,-1.701139,-3.634605,-0.660163,-1.506047,-1.585962,-1.686159,0.123129,1.76986,-0.57241,1.806882,-0.254541,-0.195993,1.00397,-0.499934,-2.022024,1.526483,0.330474,0.379033,-0.185917,1
1.08908,1.19669,2.971642,-3.005085,-2.556394,-0.176243,0.57463,-1.736593,-0.322649,-4.59431,3.18905,-1.875216,1.967782,1.253199,0.128657,-1.605286,4.102987,0.213815,-1.916939,-0.375716,0.594663,0.728194,-3.05569,1.447739,0.553455,0.27048,-0.536816,-0.946272,1.355221,1.380281,1.177734,2.352501,-1.244058,0.201324,-0.96721,1.654395,1.838449,0.281658,-1.322404,-1.629172,-2.073681,1.637192,-0.313661,2.242279,1.094466,1.909517,0.04804,0.584779,-1.299802,1.110059,-0.091811,-1.8464,16
